Coverage,Risk_Random,Risk_Deterministic,Risk_MCDropout,Risk_DeepEnsemble
0.633255,0.863245,0.866298,0.866961,0.85376
0.637939,0.863245,0.866343,0.865648,0.853715
0.643091,0.863245,0.866744,0.865871,0.854462
0.648244,0.863245,0.866154,0.86572,0.854404
0.653396,0.863245,0.865246,0.865379,0.853768
0.65808,0.863245,0.865588,0.865614,0.854567
0.663232,0.863245,0.86473,0.864632,0.853529
0.668384,0.863245,0.863972,0.865199,0.853016
0.673068,0.863245,0.863696,0.865525,0.85188
0.67822,0.863245,0.864586,0.865377,0.851252
0.683372,0.863245,0.864945,0.865506,0.850546
0.688525,0.863245,0.86575,0.865822,0.850296
0.693208,0.863245,0.865467,0.865562,0.850354
0.698361,0.863245,0.86496,0.86587,0.850359
0.703513,0.863245,0.864508,0.865686,0.851344
0.708665,0.863245,0.865493,0.864914,0.851193
0.713349,0.863245,0.865535,0.864454,0.850649
0.718501,0.863245,0.865177,0.865426,0.850523
0.723653,0.863245,0.865796,0.865192,0.850837
0.728337,0.863245,0.865749,0.864537,0.851195
0.733489,0.863245,0.866221,0.864521,0.85172
0.738642,0.863245,0.865405,0.864232,0.852755
0.743794,0.863245,0.865253,0.864611,0.853145
0.748478,0.863245,0.863221,0.864484,0.852427
0.75363,0.863245,0.862974,0.865258,0.852613
0.758782,0.863245,0.861558,0.864659,0.85198
0.763466,0.863245,0.861607,0.864775,0.851794
0.768618,0.863245,0.860846,0.865159,0.85114
0.77377,0.863245,0.861001,0.864322,0.850143
0.778923,0.863245,0.860472,0.864601,0.848712
0.783607,0.863245,0.860949,0.864525,0.848174
0.788759,0.863245,0.861316,0.864575,0.847334
0.793911,0.863245,0.860658,0.864792,0.846389
0.799063,0.863245,0.861225,0.863992,0.845731
0.803747,0.863245,0.861074,0.864018,0.844654
0.808899,0.863245,0.861418,0.863784,0.844114
0.814052,0.863245,0.860748,0.863752,0.842608
0.818735,0.863245,0.861137,0.863702,0.841296
0.823888,0.863245,0.861626,0.864294,0.840381
0.82904,0.863245,0.86182,0.863984,0.840554
0.834192,0.863245,0.86087,0.864739,0.840033
0.838876,0.863245,0.861029,0.864557,0.840368
0.844028,0.863245,0.861877,0.86429,0.838379
0.84918,0.863245,0.861318,0.863531,0.837661
0.854333,0.863245,0.861605,0.863434,0.836046
0.859016,0.863245,0.861401,0.86389,0.835773
0.864169,0.863245,0.861812,0.864193,0.833617
0.869321,0.863245,0.862071,0.864043,0.832668
0.874005,0.863245,0.862114,0.864347,0.831421
0.879157,0.863245,0.862428,0.864605,0.831081
0.884309,0.863245,0.862669,0.864501,0.829194
0.889461,0.863245,0.862749,0.864867,0.828604
0.894145,0.863245,0.86222,0.864565,0.826796
0.899297,0.863245,0.861509,0.864573,0.826885
0.90445,0.863245,0.861632,0.864391,0.826563
0.909133,0.863245,0.861651,0.864451,0.826502
0.914286,0.863245,0.86243,0.865215,0.826759
0.919438,0.863245,0.862714,0.865469,0.826563
0.92459,0.863245,0.862637,0.866069,0.826972
0.929274,0.863245,0.862983,0.866329,0.827242
0.934426,0.863245,0.8634,0.866255,0.826451
0.939578,0.863245,0.863191,0.866549,0.827011
